timestamp,src_ip,dst_ip,ip_len,ttl,src_port,dst_port,tcp_seq,packet_count,label
2026-01-13T18:11:35.424377+00:00,10.232.71.26,10.232.71.48,40,64,2026,80,0,225,NORMAL
2026-01-13T18:11:35.424443+00:00,10.232.71.26,10.232.71.48,40,64,2027,80,0,226,NORMAL
2026-01-13T18:11:35.424506+00:00,10.232.71.26,10.232.71.48,40,64,2028,80,0,227,NORMAL
2026-01-13T18:11:35.426556+00:00,10.232.71.26,10.232.71.48,40,64,2029,80,0,228,NORMAL
2026-01-13T18:11:35.426956+00:00,10.232.71.26,10.232.71.48,40,64,2030,80,0,229,NORMAL
2026-01-13T18:11:35.427467+00:00,10.232.71.26,10.232.71.48,40,64,2031,80,0,230,NORMAL
2026-01-13T18:11:35.427841+00:00,10.232.71.26,10.232.71.48,40,64,2032,80,0,231,NORMAL
2026-01-13T18:11:35.431956+00:00,10.232.71.26,10.232.71.48,40,64,2033,80,0,232,NORMAL
2026-01-13T18:11:35.432064+00:00,10.232.71.26,10.232.71.48,40,64,2034,80,0,233,NORMAL
2026-01-13T18:11:35.432136+00:00,10.232.71.26,10.232.71.48,40,64,2035,80,0,234,NORMAL
2026-01-13T18:11:35.432210+00:00,10.232.71.26,10.232.71.48,40,64,2036,80,0,235,NORMAL
2026-01-13T18:11:35.432267+00:00,10.232.71.26,10.232.71.48,40,64,2037,80,0,236,NORMAL
2026-01-13T18:11:35.432322+00:00,10.232.71.26,10.232.71.48,40,64,2038,80,0,237,NORMAL
2026-01-13T18:11:35.432378+00:00,10.232.71.26,10.232.71.48,40,64,2039,80,0,238,NORMAL
2026-01-13T18:11:35.432430+00:00,10.232.71.26,10.232.71.48,40,64,2040,80,0,239,NORMAL
2026-01-13T18:11:35.432486+00:00,10.232.71.26,10.232.71.48,40,64,2041,80,0,240,NORMAL
2026-01-13T18:11:35.432540+00:00,10.232.71.26,10.232.71.48,40,64,2042,80,0,241,NORMAL
2026-01-13T18:11:35.432592+00:00,10.232.71.26,10.232.71.48,40,64,2043,80,0,242,NORMAL
2026-01-13T18:11:35.432644+00:00,10.232.71.26,10.232.71.48,40,64,2044,80,0,243,NORMAL
2026-01-13T18:11:35.432697+00:00,10.232.71.26,10.232.71.48,40,64,2045,80,0,244,NORMAL
2026-01-13T18:11:35.432748+00:00,10.232.71.26,10.232.71.48,40,64,2046,80,0,245,NORMAL
2026-01-13T18:11:35.432802+00:00,10.232.71.26,10.232.71.48,40,64,2047,80,0,246,NORMAL
2026-01-13T18:11:35.432853+00:00,10.232.71.26,10.232.71.48,40,64,2048,80,0,247,NORMAL
