timestamp,src_ip,dst_ip,ip_len,ttl,src_port,dst_port,tcp_seq,unique_port_count,label
2026-01-13T18:34:03.981187+00:00,,,,,443,43336,37721,4,NORMAL
2026-01-13T18:34:03.981242+00:00,,,,,43336,443,51474,4,NORMAL
2026-01-13T18:34:03.981397+00:00,,,,,443,43336,37789,4,NORMAL
2026-01-13T18:34:03.981466+00:00,,,,,443,43336,37857,4,NORMAL
2026-01-13T18:34:03.981531+00:00,,,,,43336,443,51474,4,NORMAL
2026-01-13T18:34:03.981592+00:00,,,,,27017,45610,2297,5,NORMAL
2026-01-13T18:34:03.981653+00:00,,,,,45610,27017,1,6,NORMAL
2026-01-13T18:34:03.981713+00:00,,,,,443,43336,37925,6,NORMAL
2026-01-13T18:34:03.981772+00:00,,,,,43336,443,51474,6,NORMAL
2026-01-13T18:34:03.981832+00:00,,,,,443,43336,37993,6,NORMAL
2026-01-13T18:34:03.981894+00:00,,,,,43336,443,51474,6,NORMAL
2026-01-13T18:34:03.981953+00:00,,,,,443,43336,38098,6,NORMAL
2026-01-13T18:34:03.982016+00:00,,,,,43336,443,51474,6,NORMAL
2026-01-13T18:34:03.982075+00:00,,,,,443,43336,38166,6,NORMAL
2026-01-13T18:34:03.982145+00:00,,,,,43336,443,51474,6,NORMAL
2026-01-13T18:34:03.982209+00:00,,,,,443,43336,38234,6,NORMAL
2026-01-13T18:34:03.982265+00:00,,,,,43336,443,51474,6,NORMAL
2026-01-13T18:34:03.982323+00:00,,,,,443,43336,38302,6,NORMAL
2026-01-13T18:34:03.982377+00:00,,,,,43336,443,51474,6,NORMAL
2026-01-13T18:34:03.982437+00:00,,,,,443,43336,38370,6,NORMAL
2026-01-13T18:34:03.982492+00:00,,,,,43336,443,51474,6,NORMAL
2026-01-13T18:34:03.982546+00:00,,,,,443,43336,38438,6,NORMAL
2026-01-13T18:34:03.982601+00:00,,,,,43336,443,51474,6,NORMAL
2026-01-13T18:34:03.982654+00:00,,,,,443,43336,38506,6,NORMAL
2026-01-13T18:34:03.982718+00:00,,,,,43336,443,51474,6,NORMAL
2026-01-13T18:34:03.982776+00:00,,,,,443,43336,38574,6,NORMAL
2026-01-13T18:34:03.982834+00:00,,,,,43336,443,51474,6,NORMAL
2026-01-13T18:34:03.982895+00:00,,,,,443,43336,38642,6,NORMAL
2026-01-13T18:34:03.982952+00:00,,,,,43336,443,51474,6,NORMAL
2026-01-13T18:34:03.983009+00:00,,,,,443,43336,38710,6,NORMAL
2026-01-13T18:34:03.983071+00:00,,,,,43336,443,51474,6,NORMAL
2026-01-13T18:34:03.983139+00:00,,,,,443,43336,38778,6,NORMAL
2026-01-13T18:34:03.983334+00:00,,,,,443,43336,38846,6,NORMAL
2026-01-13T18:34:03.983403+00:00,,,,,43336,443,51474,6,NORMAL
2026-01-13T18:34:03.983466+00:00,,,,,443,43336,38914,6,NORMAL
2026-01-13T18:34:03.983528+00:00,,,,,43336,443,51474,6,NORMAL
2026-01-13T18:34:03.983589+00:00,,,,,443,43336,38982,6,NORMAL
2026-01-13T18:34:06.025184+00:00,,,,,43336,443,51474,6,NORMAL
2026-01-13T18:34:06.025319+00:00,,,,,443,43336,39050,6,NORMAL
2026-01-13T18:34:06.025382+00:00,,,,,43336,443,51474,6,NORMAL
2026-01-13T18:34:06.025483+00:00,,,,,443,43336,39118,6,NORMAL
2026-01-13T18:34:06.025539+00:00,,,,,43336,443,51474,6,NORMAL
2026-01-13T18:34:06.025607+00:00,,,,,443,43336,39223,6,NORMAL
2026-01-13T18:34:06.025690+00:00,,,,,27017,36756,2249,7,NORMAL
2026-01-13T18:34:06.025758+00:00,,,,,36756,27017,1,7,NORMAL
2026-01-13T18:34:06.025812+00:00,,,,,43336,443,51474,7,NORMAL
2026-01-13T18:34:06.025910+00:00,,,,,443,43336,39291,7,NORMAL
2026-01-13T18:34:06.025976+00:00,,,,,43336,443,51474,7,NORMAL
2026-01-13T18:34:06.026031+00:00,,,,,443,43336,39359,7,NORMAL
2026-01-13T18:34:06.026084+00:00,,,,,43336,443,51474,7,NORMAL
2026-01-13T18:34:06.026145+00:00,,,,,443,43336,39427,6,NORMAL
2026-01-13T18:34:06.026216+00:00,,,,,43336,443,51474,6,NORMAL
2026-01-13T18:34:06.026276+00:00,,,,,443,43336,39503,6,NORMAL
2026-01-13T18:34:06.026346+00:00,,,,,43336,443,51474,6,NORMAL
2026-01-13T18:34:06.026399+00:00,,,,,443,43336,39571,6,NORMAL
2026-01-13T18:34:06.026453+00:00,,,,,43336,443,51474,6,NORMAL
2026-01-13T18:34:06.026506+00:00,,,,,443,43336,39639,6,NORMAL
2026-01-13T18:34:06.026561+00:00,,,,,43336,443,51474,6,NORMAL
2026-01-13T18:34:06.026647+00:00,,,,,443,43336,39715,6,NORMAL
2026-01-13T18:34:06.026729+00:00,,,,,43336,443,51474,6,NORMAL
2026-01-13T18:34:06.026803+00:00,,,,,443,43336,39783,6,NORMAL
2026-01-13T18:34:06.026855+00:00,,,,,43336,443,51474,6,NORMAL
2026-01-13T18:34:06.026938+00:00,,,,,443,43336,39851,6,NORMAL
2026-01-13T18:34:06.026992+00:00,,,,,43336,443,51474,6,NORMAL
2026-01-13T18:34:06.027066+00:00,,,,,443,43336,39919,6,NORMAL
2026-01-13T18:34:06.027156+00:00,,,,,443,43336,39987,6,NORMAL
2026-01-13T18:34:06.027233+00:00,,,,,43336,443,51474,6,NORMAL
2026-01-13T18:34:06.027288+00:00,,,,,443,43336,40055,6,NORMAL
2026-01-13T18:34:06.027343+00:00,,,,,43336,443,51474,6,NORMAL
2026-01-13T18:34:06.027396+00:00,,,,,443,43336,40123,6,NORMAL
2026-01-13T18:34:06.027449+00:00,,,,,43336,443,51474,6,NORMAL
2026-01-13T18:34:06.027502+00:00,,,,,443,43336,40199,6,NORMAL
2026-01-13T18:34:06.027555+00:00,,,,,443,43336,40275,6,NORMAL
2026-01-13T18:34:06.027609+00:00,,,,,43336,443,51474,6,NORMAL
2026-01-13T18:34:06.027662+00:00,,,,,443,43336,40343,6,NORMAL
